title,author,genre,extent,issue_id,date_issued,volno_string
Contents,,articles,1,507789,1910-11-01,"Vol. 1, No. 1 "
Front Advertisement,,advertisements,1,507789,1910-11-01,"Vol. 1, No. 1 "
Along the Color Line,,articles,3,507789,1910-11-01,"Vol. 1, No. 1 "
Opinion,,articles,2,507789,1910-11-01,"Vol. 1, No. 1 "
Editorial,,articles,1,507789,1910-11-01,"Vol. 1, No. 1 "
The N.A.A.C.P.,,articles,1,507789,1910-11-01,"Vol. 1, No. 1 "
Athens and Brownsville,"Storey, Moorfield ",articles,1,507789,1910-11-01,"Vol. 1, No. 1 "
The Burden,,articles,1,507789,1910-11-01,"Vol. 1, No. 1 "
What to Read,,articles,1,507789,1910-11-01,"Vol. 1, No. 1 "
Back Advertisements,,advertisements,4,507789,1910-11-01,"Vol. 1, No. 1 "
Contents,,articles,1,507810,1910-12-01,"Vol. 1, No. 2 "
Front Advertisements,,advertisements,2,507810,1910-12-01,"Vol. 1, No. 2 "
Along the Color Line,,articles,5,507810,1910-12-01,"Vol. 1, No. 2 "
Opinion,,articles,4,507810,1910-12-01,"Vol. 1, No. 2 "
Editorial,,articles,5,507810,1910-12-01,"Vol. 1, No. 2 "
CartoonThe Christmas Reckoning,"Adams, John Henry ",images,1,507810,1910-12-01,"Vol. 1, No. 2 "
The Real Race Problem,"Boas, Franz Professor of Anthropology, Columbia

                University ",articles,3,507810,1910-12-01,"Vol. 1, No. 2 "
N.A.A.C.P. Lecture Recital,,advertisements,1,507810,1910-12-01,"Vol. 1, No. 2 "
The Burden,,articles,1,507810,1910-12-01,"Vol. 1, No. 2 "
Talks about WomenI,"Milholland, John E. Mrs. ",articles,1,507810,1910-12-01,"Vol. 1, No. 2 "
Letters,A Colored Man ,letters,1,507810,1910-12-01,"Vol. 1, No. 2 "
What to Read,,articles,1,507810,1910-12-01,"Vol. 1, No. 2 "
What to ReadBook Review of 'Through Afro-America' by [William] Archer,,articles,1,507810,1910-12-01,"Vol. 1, No. 2 "
"What to ReadBook Review of 'Eminent Negro Men and Women' by John Edward

                Bruce",,articles,1,507810,1910-12-01,"Vol. 1, No. 2 "
Back Advertisements,,advertisements,5,507810,1910-12-01,"Vol. 1, No. 2 "
Contents,,articles,1,507847,1911-01-01,"Vol. 1, No. 3 "
Front Advertisements,,advertisements,2,507847,1911-01-01,"Vol. 1, No. 3 "
Along the Color Line,,articles,3,507847,1911-01-01,"Vol. 1, No. 3 "
Opinion,,articles,4,507847,1911-01-01,"Vol. 1, No. 3 "
A Winter Pilgrimage,"Du Bois, W. E. B. ",articles,1,507847,1911-01-01,"Vol. 1, No. 3 "
Editorial,,articles,5,507847,1911-01-01,"Vol. 1, No. 3 "
CartoonThe National Pastime,"Adams, John Henry ",images,1,507847,1911-01-01,"Vol. 1, No. 3 "
Social Control,"Addams, Jane ",articles,1,507847,1911-01-01,"Vol. 1, No. 3 "
The Teacher,"Hill, Leslie Pinckney ",poetry,1,507847,1911-01-01,"Vol. 1, No. 3 "
Employment of Colored Women in Chicago,,articles,1,507847,1911-01-01,"Vol. 1, No. 3 "
